library,specimen_id,sample_accession,experiment_accession,run_accession,ncbi_taxid,scientific_name,family_taxid,family_name,country,prefix
CDM:APS,TROM_V_42667,SAMEA8201832,ERX5309745,ERR5529284,41964,Asplenium_scolopendrium,41972,Aspleniaceae,Norway,TV42667
CDM:APL,TROM_V_8381,SAMEA8202045,ERX5309746,ERR5529285,240695,Carex_disticha,4609,Cyperaceae,Norway,TV8381
BXA:AKT,TROM_V_148646,SAMEA8201202,ERX5309747,ERR5529286,38844,Euphorbia_cyparissias,3977,Euphorbiaceae,Norway,TV148646
CDM:ALK,TROM_V_135802,SAMEA8201038,ERX5309748,ERR5529287,910636,Erysimum_inconspicuum,3700,Brassicaceae,USA,TV135802
CDM:ADK,TROM_V_135882,SAMEA8201079,ERX5309749,ERR5529288,2042664,Erigeron_muirii,4210,Asteraceae,Canada,TV135882
CDM:AJT,TROM_V_20129,SAMEA8201703,ERX5309750,ERR5529289,1591266,Erigeron_elongatus,4210,Asteraceae,Norway,TV20129
CDM:AEE,TROM_V_109900,SAMEA8200852,ERX5309751,ERR5529290,112517,Hordeum_comosum,4479,Poaceae,Sweden,TV109900
CDM:AUN,TROM_V_48897,SAMEA8201856,ERX5309752,ERR5529291,55764,Bromus_arvensis,4479,Poaceae,Norway,TV48897
CDM:API,TROM_V_108162,SAMEA8200848,ERX5309753,ERR5529292,90397,Echinochloa_crus-galli,4479,Poaceae,Norway,TV108162
BXA:CCM,TROM_V_135703,SAMEA8200987,ERX5309754,ERR5529293,345915,Agrostis_exarata,4479,Poaceae,USA,TV135703
CDM:AJD,TROM_V_135758,SAMEA8201013,ERX5309755,ERR5529294,669636,Barbarea_orthoceras,3700,Brassicaceae,USA,TV135758
CDM:AJF,TROM_V_301404,SAMEA8201777,ERX5309756,ERR5529295,45899,Kalmia_polifolia,4345,Ericaceae,USA,TV301404
CDM:AIW,TROM_V_135924,SAMEA8201099,ERX5309757,ERR5529296,669787,Primula_pumila,4335,Primulaceae,USA,TV135924
CDM:AEC,TROM_V_135754,SAMEA8201011,ERX5309758,ERR5529297,3449,Caltha_palustris,3440,Ranunculaceae,USA,TV135754
CDM:AJI,TROM_V_135815,SAMEA8201043,ERX5309759,ERR5529298,669716,Lagotis_glauca,156152,Plantaginaceae,USA,TV135815
CDM:ADZ,TROM_V_300511,SAMEA8201772,ERX5309760,ERR5529299,149412,Arnica_unalaschcensis,4210,Asteraceae,USA,TV300511
CDM:APT,TROM_V_88231,SAMEA8202085,ERX5309761,ERR5529300,468249,Asplenium_x_adulterinum,41972,Aspleniaceae,Norway,TV88231
CDM:AJU,TROM_V_201866,SAMEA8201716,ERX5309762,ERR5529301,552844,Triantha_occidentalis,85243,Tofieldiaceae,USA,TV201866
CDM:AJG,TROM_V_135810,SAMEA8201040,ERX5309763,ERR5529302,61283,Geum_calthifolium,3745,Rosaceae,USA,TV135810
CDM:AEB,TROM_V_135781,SAMEA8201025,ERX5309764,ERR5529303,99030,Arctanthemum_arcticum,4210,Asteraceae,USA,TV135781
CDM:ALH,TROM_V_135752,SAMEA8201010,ERX5309765,ERR5529304,253622,Caltha_leptosepala,3440,Ranunculaceae,USA,TV135752
CDM:ALJ,TROM_V_201564,SAMEA8201709,ERX5309766,ERR5529305,52830,Elymus_sibiricus,4479,Poaceae,USA,TV201564
CDM:AED,TROM_V_135755,SAMEA8201012,ERX5309767,ERR5529306,93890,Boechera_holboellii,3700,Brassicaceae,Greenland,TV135755
BXA:AVR,TROM_V_25179,SAMEA8201757,ERX5309768,ERR5529307,228874,Berteroa_incana,3700,Brassicaceae,Norway,TV25179
BXA:ALT,TROM_V_66951,SAMEA8201977,ERX5309769,ERR5529308,40954,Aethusa_cynapium,4037,Apiaceae,Norway,TV66951
BXA:BVC,TROM_V_142396,SAMEA8201136,ERX5309770,ERR5529309,51276,Bidens_tripartita,4210,Asteraceae,Norway,TV142396
CDM:ADG,TROM_V_300360,SAMEA8201766,ERX5309771,ERR5529310,669622,Antennaria_rosea,4210,Asteraceae,Canada,TV300360
CDM:AIY,TROM_V_135910,SAMEA8201088,ERX5309772,ERR5529311,75709,Salix_discolor,3688,Salicaceae,Canada,TV135910
CDM:AOZ,TROM_V_43901,SAMEA8201834,ERX5309773,ERR5529312,90345,Abies_balsamea,3318,Pinaceae,Norway,TV43901
CDM:AJL,TROM_V_135876,SAMEA8201077,ERX5309774,ERR5529313,308410,Juncus_brevicaudatus,14101,Juncaceae,Canada,TV135876
BXA:CAS,TROM_V_130692,SAMEA8200891,ERX5309775,ERR5529314,269367,Poa_chaixii,4479,Poaceae,Norway,TV130692
CDM:ABT,TROM_V_201850,SAMEA8201715,ERX5309776,ERR5529315,395326,Tephroseris_frigida,4210,Asteraceae,Canada,TV201850
CDM:APO,TROM_V_145699,SAMEA8201144,ERX5309777,ERR5529316,4499,Avena_fatua,4479,Poaceae,Norway,TV145699
CDM:AEA,TROM_V_300501,SAMEA8201771,ERX5309778,ERR5529317,436204,Arnica_lessingii,4210,Asteraceae,USA,TV300501
CDM:ABU,TROM_V_90143,SAMEA8202132,ERX5309779,ERR5529318,152003,Tephroseris_yukonensis,4210,Asteraceae,USA,TV90143
CDM:AEO,TROM_V_80050,SAMEA8202025,ERX5309780,ERR5529319,124763,Amaranthus_retroflexus,3563,Amaranthaceae,Norway,TV80050
CDM:AJE,TROM_V_135738,SAMEA8201000,ERX5309781,ERR5529320,64024,Actaea_rubra,3440,Ranunculaceae,USA,TV135738
CDM:AMF,TROM_V_13198,SAMEA8200896,ERX5309782,ERR5529321,49064,Antennaria_nordhageniana,4210,Asteraceae,Norway,TV13198
BMB:DL,TROM_V_16951,SAMEA8201426,ERX5309783,ERR5529322,1623456,Heracleum_persicum_x_Heracleum_cf_sphondylium_MKF-2015,4037,Apiaceae,Norway,TV16951
CDM:AXT,TROM_V_83896,SAMEA8202047,ERX5309784,ERR5529323,1546422,Rubus_grabowskii,3745,Rosaceae,Sweden,TV83896
CDM:AJK,TROM_V_135868,SAMEA8201072,ERX5309785,ERR5529324,669688,Eriophorum_callitrix,4609,Cyperaceae,Greenland,TV135868
CDM:APM,TROM_V_74211,SAMEA8202008,ERX5309786,ERR5529325,312740,Carex_disperma,4609,Cyperaceae,Norway,TV74211
CDM:ATM,TROM_V_13417,SAMEA8200927,ERX5309787,ERR5529326,41914,Sceptridium_multifidum,13828,Ophioglossaceae,Norway,TV13417
CDM:AVR,TROM_V_12114,SAMEA8200873,ERX5309788,ERR5529327,140783,Carex_acutiformis,4609,Cyperaceae,Norway,TV12114
CDM:AOX,TROM_V_48865,SAMEA8201854,ERX5309789,ERR5529328,29665,Briza_maxima,4479,Poaceae,Sweden,TV48865
CDM:AKZ,TROM_V_135913,SAMEA8201091,ERX5309790,ERR5529329,1510611,Salix_prolixa,3688,Salicaceae,Canada,TV135913
CDM:ADL,TROM_V_90477,SAMEA8202144,ERX5309791,ERR5529330,90222,Astragalus_tenellus,3803,Fabaceae,Canada,TV90477
CDM:ADH,TROM_V_135853,SAMEA8201065,ERX5309792,ERR5529331,368339,Puccinellia_arctica,4479,Poaceae,Canada,TV135853
CDM:ATA,TROM_V_109902,SAMEA8200853,ERX5309793,ERR5529332,4593,Agropyron_cristatum,4479,Poaceae,Finland,TV109902
CDM:ALO,TROM_V_135865,SAMEA8201071,ERX5309794,ERR5529333,669672,Elymus_macrourus,4479,Poaceae,Canada,TV135865
CDM:AEQ,TROM_V_135695,SAMEA8200983,ERX5309795,ERR5529334,368347,Deschampsia_brevifolia,4479,Poaceae,Greenland,TV135695
CDM:AMX,TROM_V_90521,SAMEA8202147,ERX5309796,ERR5529335,57576,Hedysarum_alpinum,3803,Fabaceae,Canada,TV90521
